species,gtdb_id,description,gram_stain,cell_shape,motility,Alkaline phosphatase,Esterase,Esterase Lipase,Lipase,Leucine arylamidase,Valine arylamidase,Cystine arylamidase,Trypsin,alpha- Chymotrypsin,Acid phosphatase,Naphthol-AS-BI-phosphohydrolase,alpha- Galactosidase,beta- Galactosidase,beta- Glucuronidase,alpha- Glucosidase,beta- Glucosidase,N-acetyl-beta- glucosaminidase,alpha- Mannosidase,alpha- Fucosidase,GLY,ERY,DARA,LARA,RIB,DXYL,LXYL,ADO,MDX,GAL,GLU,FRU,MNE,SBE,RHA,DUL,INO,MAN,SOR,MDM,MDG,NAG,AMY,ARB,ESC,SAL,CEL,MAL,LAC,MEL,SAC,TRE,INU,MLZ,RAF,AMD,GLYG,XLT,GEN,TUR,LYX,TAG,DFUC,LFUC,DARL,LARL,GNT,2KG,5KG,NIT,PYZ,PYRA,PAL,beta GUR,beta GAL,alpha GLU,beta NAG,URE,GEL,XYL,NO3,TRP,GLU_ Ferm,ADH Arg,PNPG,GLU_ Assim,ARA,CAP,ADI,MLT,CIT,PAC,OX,ONPG,LDC Lys,ODC,H2S,TDA Trp,IND,VP,Sor,NO2,N2,MTE,LTE,MbGa,MaGa,MbGu,PLE,FUC,MTL,HBG,3MDG,SAT,MUC,LTAT,DTAT,MTAT,DMLT,LMLT,CATE,TATE,TTE,GRT,GAT,TRY,PAT,pOBE,QAT,GTE,mOBE,BAT,PPAT,CMT,TGE,BET,PCE,ABT,HIN,LAT,CYT,HIS,SUC,FUM,GRE,GYT,AVT,ETN,TTN,GLN,ITA,3OBU,APT,GTT,PRO,DALA,LALA,SER,MNT,PROP,TYR,2KT,MAC,CAT,Q,MOB,OF-O,OF-F,genome_path
Streptomyces heilongjiangensis,GCF_028401405.1,"Streptomyces heilongjiangensis NEAU-W2 is an aerobe, spore-forming, mesophilic bacterium that builds an aerial mycelium and was isolated from root surface of soybean glycine max Merr.",positive,rod-shaped,no,+,+/-,+/-,-,+,+/-,-,+/-,+,+,+,+/-,+,-,+/-,+,+/-,+/-,-,,,,,-,,,,,,-,,,,,,,-,,,,,,,-,,,-,-,,-,,,,,,-,,,,,,,,,,,,,-,-,-,+,-,+,-,-,-,+,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/028/401/405/GCF_028401405.1_genomic.fna.gz
Seongchinamella unica,GCF_004354085.1,"Seongchinamella unica GH4-78 is an aerobe, mesophilic, Gram-negative bacterium that forms circular colonies and was isolated from a tidal mudflat.",negative,rod-shaped,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,-,,,,-,,,+,,,-,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,-,-,,+,-,-,-,-,-,-,-,-,-,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/004/354/085/GCF_004354085.1_genomic.fna.gz
Massilia niastensis,GCF_000382345.1,"Massilia niastensis 5516S-1 is an aerobe, mesophilic, Gram-negative bacterium that was isolated from air sample.","['negative', 'negative']","[None, None]","['yes', 'yes']",+,-,-,-,+,+,+,-,+,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/382/345/GCF_000382345.1_genomic.fna.gz
Micromonospora sediminimaris,GCF_016863575.1,"Micromonospora sediminimaris MS 426 is an aerobe, spore-forming, mesophilic bacterium that was isolated from deep marine sediment.",positive,rod-shaped,no,+,+,+,-,+,+,+/-,+,+/-,+,+,-,-,-,+,+,+,-,-,,,,,-,,,,,,-,,,,,,,-,,,,,,,+,,,-,-,,+,,,,,,+,,,,,,,,,,,,,-,-,-,+,-,-,+,+,-,+,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/016/863/575/GCF_016863575.1_genomic.fna.gz
Kushneria marisflavi,GCF_002157205.1,"Halomonas marisflavi SW32 is an obligate aerobe, mesophilic, Gram-negative bacterium that was isolated from water sample.",negative,rod-shaped,yes,+,+,-,-,+,-,-,-,+,+,+,-,-,-,+,+,-,-,-,+,+,,,+,,,+,,+,+,+,+,-,-,-,-,+,+,,-,-,,,+,,-,+,-,-,+,+,,-,-,,,+,-,+,+,-,,,+,+,+,+,+,,,,,,,,,,,-,,,,,,,+,-,,,+,-,,,,,,,,,,,,+,-,-,-,+,-,-,-,-,+,+,+,-,-,-,+,+,+,+,-,+,+,-,-,-,-,+,-,-,-,-,-,+,-,+,-,+,-,-,+,+,-,+,-,-,-,-,-,-,+,+,+,-,-,+,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/002/157/205/GCF_002157205.1_genomic.fna.gz
Pseudomonas furukawaii,GCF_002355475.1,"Pseudomonas furukawaii KF707 is an aerobe, mesophilic, Gram-negative bacterium that forms circular colonies and was isolated from soil near a biphenyl manufacturing plant.",negative,rod-shaped,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,-,,,,-,,,-,,,-,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,-,-,,+,-,-,+,-,+,-,+,-,+,+,+,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/002/355/475/GCF_002355475.1_genomic.fna.gz
Streptomyces chryseus,GCF_014650755.1,"Streptomyces chryseus DSM 40420 is an aerobe, spore-forming, mesophilic bacterium that builds an aerial mycelium.",,,,,,,-,,,,,,,,-,,-,,,,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,+,,,,,+,,,,,,,+,,,+,+,+,-,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/014/650/755/GCF_014650755.1_genomic.fna.gz
Yersinia aleksiciae,GCF_001047675.1,"Yersinia aleksiciae Y159 is a facultative anaerobe, mesophilic, Gram-negative bacterium that was isolated from human faeces.","['negative', 'negative']","[None, None]","['yes', 'no']",+,+,-,-,+,+,-,+,-,+,+,-,+,-,+,+,+,-,-,+,-,-,+,+,+,-,-,-,+,+,+,+,-,-,-,+,+,+,-,-,+,"['+', '-']",+,+/-,+/-,+,+/-,-,-,-,+,-,-,-,+/-,-,-,+,-,-,-,-,+,+,-,+,-,+,,,,,,,,,+,-,,,,,-,,,+,,,,+,,-,+,-,+,-,-,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/047/675/GCF_001047675.1_genomic.fna.gz
Pandoraea vervacti,GCF_000934605.2,"Pandoraea vervacti 561 is a mesophilic, Gram-negative, motile bacterium that was isolated from uncultivated field soil.",negative,rod-shaped,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,-,,-,,-,-,,,,-,-,,-,,,-,,-,-,,,,,,,,,,,,,,,,+,,,,,,,,,,,+,-,,-,-,-,-,-,+,-,+,-,+,+,+,+/-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/934/605/GCF_000934605.2_genomic.fna.gz
Secundilactobacillus paracollinoides,GCF_001311135.1,"Secundilactobacillus paracollinoides LA2 is a facultative anaerobe, mesophilic, Gram-positive bacterium that was isolated from brewery environment.","['positive', 'positive']","[None, None]","[None, 'no']",-,+,-,-,+,+,-,-,-,-,+,+,+,-,+,+,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/311/135/GCF_001311135.1_genomic.fna.gz
Olivibacter domesticus,GCF_900109575.1,"Olivibacter domesticus DC-186 is an aerobe, mesophilic, Gram-negative bacterium that was isolated from home-made compost.","['negative', 'negative']","[None, None]","['no', 'no']",+,+,-,-,+,+,-,+,-,+,+,+,+,-,+,+,+,+,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/900/109/575/GCF_900109575.1_genomic.fna.gz
Corynebacterium belfantii,GCF_900205605.1,"Corynebacterium belfantii DSM 105776 is a mesophilic, Gram-positive, rod-shaped bacterium that was isolated from pseudomembrane.",positive,rod-shaped,no,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,+,,,,,,,-,,,,,,,-,,,+,-,,-,,,,,,-,,,,,,,,,,,,,-,-,-,-,-,-,+,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/900/205/605/GCF_900205605.1_genomic.fna.gz
Streptomyces caelestis,GCF_014205255.1,"Streptomyces caelestis DSM 40084 is a spore-forming, mesophilic bacterium that produces antibiotic compounds and was isolated from soil.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,+,,,,,-,,,,,,,+,,,+,-,-,+,+,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/014/205/255/GCF_014205255.1_genomic.fna.gz
Paeniglutamicibacter kerguelensis,GCF_017876535.1,"Paeniglutamicibacter kerguelensis KGN15 is an aerobe, mesophilic, Gram-positive bacterium that was isolated from sea water.","['positive', 'positive']","[None, None]","['no', 'yes']",,,,,,,,,,,,,,,,,,,,+,-,,,-,,,-,,+,-,+,-,-,-,-,-,-,-,,-,+,,,"['+', '-']",,-,+,-,+,-,-,,-,+,,,-,-,-,-,-,,,+,-,+,-,+,,+,+,-,-,+,+,-,+,+,-,,,,,,,-,-,,,+,+,,,,,,,,,,,,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,+,-,-,+,-,-,-,-,+,+,+,-,+,-,+,+,+,-,-,-,-,-,-,-,-,+,+,+,+,+,+,-,+,+,+,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/017/876/535/GCF_017876535.1_genomic.fna.gz
Terrimonas ferruginea,GCF_000425585.1,"Terrimonas ferruginea 3576 is an obligate aerobe, mesophilic, Gram-negative bacterium of the family Chitinophagaceae.",negative,rod-shaped,no,+,+,+,-,+,+,+,-,-,+,+,-,+,-,-,+,+,+,-,-,-,-,+/-,-,+/-,-,+/-,-,-,+/-,-,+/-,-,+/-,-,-,-,-,-,-,-,-,-,+/-,-,+/-,+/-,-,-,-,-,-,-,-,+/-,+/-,-,+/-,+/-,-,-,-,-,-,-,-,-,+/-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/425/585/GCF_000425585.1_genomic.fna.gz
Brevundimonas mediterranea,GCF_014196125.1,"Brevundimonas mediterranea V4.30.10 is an obligate aerobe, mesophilic, Gram-negative bacterium that was isolated from seawater sample taken at 110 m depth.",negative,rod-shaped,no,+,+,+,-,+,-,-,+,-,+,+,-,-,-,+,+,-,-,-,-,-,,,-,,,-,,-,+,+,-,-,-,-,-,-,-,,-,-,,,+,,+,+,-,-,-,-,,-,-,,,-,+,-,-,-,,,-,-,-,-,-,,,,,,,,,,,-,,,,,,,-,-,,,-,-,,,,,,,,,,,,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/014/196/125/GCF_014196125.1_genomic.fna.gz
Gluconacetobacter liquefaciens,GCF_003350405.1,"Gluconacetobacter liquefaciens DSM 5603 is an aerobe, mesophilic, Gram-negative bacterium that was isolated from dried fruit .",negative,rod-shaped,no,-,+,+,-,+,+,+,+,-,+,+,-,-,-,-,-,+,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/003/350/405/GCF_003350405.1_genomic.fna.gz
Bifidobacterium avesanii,GCF_009299475.1,Bifidobacterium avesanii DSM 100685 is a mesophilic bacterium that was isolated from faeces of an adult cotton-top tamarin Saguinus oedipus L..,,,,,,,,,,,,,,,,,,,,,,,-,-,-,+,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,+,+,-,-,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/009/299/475/GCF_009299475.1_genomic.fna.gz
Deinococcus geothermalis,GCF_000196275.1,"Deinococcus geothermalis AG-3a is an obligate aerobe, thermophilic, Gram-positive bacterium that was isolated from hot springs.","['positive', 'positive']","[None, None]","['no', 'no']",+,+,+,+,-,-,-,-,-,+,+,-,-,-,+,-,-,-,-,+,-,,,+,,,-,,-,+,+,+,-,+,-,-,+,+,,-,+,,,-,,+,+,-,-,+,+,,-,-,,,-,-,+,-,-,,,+,-,-,-,-,,,,,,,,,,,+,,,,,,,-,-,,,-,-,,,,,,,,,,,,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/196/275/GCF_000196275.1_genomic.fna.gz
Cellulomonas aerilata,GCF_007991755.1,"Cellulomonas aerilata 5420S-23 is an aerobe, mesophilic, Gram-positive bacterium that was isolated from air sample.","['positive', 'positive']","[None, None]","['yes', 'no']",+,+,+,-,+,-,-,-,-,+,-,-,-,-,+,+,+,-,-,,,,,-,,,,,,-,,,,,,,-,,,,,,,+,,,-,-,,-,,,,,,-,,,,,,,,,,,,,-,-,-,+,-,-,+,+,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/007/991/755/GCF_007991755.1_genomic.fna.gz
