species,gtdb_id,family,description,gram_stain,cell_shape,motility,Alkaline phosphatase,Esterase,Esterase Lipase,Lipase,Leucine arylamidase,Valine arylamidase,Cystine arylamidase,Trypsin,alpha- Chymotrypsin,Acid phosphatase,Naphthol-AS-BI-phosphohydrolase,alpha- Galactosidase,beta- Galactosidase,beta- Glucuronidase,alpha- Glucosidase,beta- Glucosidase,N-acetyl-beta- glucosaminidase,alpha- Mannosidase,alpha- Fucosidase,GLY,ERY,DARA,LARA,RIB,DXYL,LXYL,ADO,MDX,GAL,GLU,FRU,MNE,SBE,RHA,DUL,INO,MAN,SOR,MDM,MDG,NAG,AMY,ARB,ESC,SAL,CEL,MAL,LAC,MEL,SAC,TRE,INU,MLZ,RAF,AMD,GLYG,XLT,GEN,TUR,LYX,TAG,DFUC,LFUC,DARL,LARL,GNT,2KG,5KG,NIT,PYZ,PYRA,PAL,beta GUR,beta GAL,alpha GLU,beta NAG,URE,GEL,XYL,NO3,TRP,GLU_ Ferm,ADH Arg,PNPG,GLU_ Assim,ARA,CAP,ADI,MLT,CIT,PAC,OX,ONPG,LDC Lys,ODC,H2S,TDA Trp,IND,VP,Sor,NO2,N2,MTE,LTE,MbGa,MaGa,MbGu,PLE,FUC,MTL,HBG,3MDG,SAT,MUC,LTAT,DTAT,MTAT,DMLT,LMLT,CATE,TATE,TTE,GRT,GAT,TRY,PAT,pOBE,QAT,GTE,mOBE,BAT,PPAT,CMT,TGE,BET,PCE,ABT,HIN,LAT,CYT,HIS,SUC,FUM,GRE,GYT,AVT,ETN,TTN,GLN,ITA,3OBU,APT,GTT,PRO,DALA,LALA,SER,MNT,PROP,TYR,2KT,MAC,CAT,Q,MOB,OF-O,OF-F,genome_path
Halalkalibacterium halodurans,GCF_004376175.1,Bacillaceae,"Halalkalibacterium halodurans PN 80 is an obligate aerobe, spore-forming, mesophilic bacterium that was isolated from dried sewage sludge.",positive,rod-shaped,yes,-,+,+,-,-,-,-,-,-,-,+,-,+,-,+,+,-,-,-,+,-,-,-,+,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,-,+,+/-,-,+,+,+,+,-,-,+/-,+,-,-,-,+/-,+,-,-,+,-,-,-,-,-,-,+/-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/004/376/175/GCF_004376175.1_genomic.fna.gz
Streptococcus ictaluri,GCF_000188015.2,Streptococcaceae,"Streptococcus ictaluri S02-1108 is an aerobe, mesophilic, Gram-positive animal pathogen that was isolated from broodstock channel catfish Ictalurus punctatus with osteolytic bone lesions.",positive,coccus-shaped,no,+,+,+,-,+,-,-,-,-,+,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/188/015/GCF_000188015.2_genomic.fna.gz
Bacillus smithii,GCF_001050115.1,Bacillaceae,"Bacillus smithii NRS-173 is an aerobe, spore-forming, thermophilic bacterium that was isolated from cheese.",positive,rod-shaped,yes,,,,,,,,,,,,,,,,,,,,+,-,-,+,+,+,+,-,-,-,"['-', '+']",+,-,-,"['-', '+']",-,-,"['-', '+']",-,-,-,-,-,-,-,-,-,+,-,-,-,+,-,-,-,-,-,-,-,+,+,+,-,-,-,-,+,-,+,,,,,,,,,-,+,,,,,-,,,-,,,,-,,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/050/115/GCF_001050115.1_genomic.fna.gz
Pseudomonas chlororaphis,GCF_003850345.1,Pseudomonadaceae,"Pseudomonas chlororaphis 292 is an aerobe, mesophilic, Gram-negative bacterium that was isolated from plate contaminant.",negative,rod-shaped,yes,+,+,+,-,+,+,-,-,-,+,+,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/003/850/345/GCF_003850345.1_genomic.fna.gz
Staphylococcus muscae,GCF_003019275.1,Staphylococcaceae,"Staphylococcus muscae MB4 is an aerobe, mesophilic, Gram-positive bacterium that was isolated from fly, body surface.",positive,coccus-shaped,no,,,,,,,,,,,,,,,,,,,,+,-,-,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/003/019/275/GCF_003019275.1_genomic.fna.gz
Marinococcus halophilus,GCF_002265875.1,Bacillaceae,"Marinococcus halophilus HK 718 is an obligate aerobe, spore-forming, mesophilic bacterium that was isolated from salted mackerel.",positive,coccus-shaped,yes,+,+,+,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['-', '+']",-,-,-,-,-,-,-,-,-,-,"['-', '+']",-,-,-,-,-,"['-', '+']",-,-,"['-', '+']","['-', '+']",-,-,-,-,-,-,"['-', '+']",-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,-,,,,,,,-,-,,,-,-,,,,,,,,,,,,+,-,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/002/265/875/GCF_002265875.1_genomic.fna.gz
Bacillus licheniformis,GCF_000011645.1,Bacillaceae,"Bacillus licheniformis Gibson 46 is a facultative anaerobe, spore-forming, mesophilic bacterium of the family Bacillaceae.",positive,rod-shaped,yes,+,+,+,-,-,-,-,-,-,+,+,-,+,-,+,+,-,-,-,+,-,,,+,,,-,,+,+,+,+,-,+,-,+,+,+,,+,+,,,+,,+,+,-,+,+,+,,-,+,,-,-,+,+,-,+,,,-,-,+,-,-,+,+,+,+,-,+,+,-,-,+,"['-', '+']",,,,,,,-,-,,,+,-,,,,,,,,,,,,+,+,-,-,+,+,-,+,-,-,+,+,-,-,+,+,+,+,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,+,-,+,+,-,+,-,-,-,+,-,-,+,+,+,+,+,+,-,+,-,+,,+,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/011/645/GCF_000011645.1_genomic.fna.gz
Clostridium beijerinckii,GCF_018223745.1,Clostridiaceae,"Clostridium beijerinckii E. McCoy A-67 is an anaerobe, spore-forming, mesophilic bacterium that was isolated from Soil.",positive,rod-shaped,yes,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/018/223/745/GCF_018223745.1_genomic.fna.gz
Staphylococcus intermedius,GCF_002902385.1,Staphylococcaceae,"Staphylococcus intermedius H11 is a facultative anaerobe, mesophilic, Gram-positive bacterium that was isolated from pigeon nares.",positive,coccus-shaped,no,+,+,+,-,-,-,-,-,-,+,+,-,+,-,+,+,-,-,-,+,-,-,-,+,-,-,-,-,"['+', '-']",+,+,+,-,-,-,-,+,-,-,-,"['+/-', '+']",-,+/-,-,-,-,+,"['+/-', '+']",-,+,+,-,-,-,-,-,-,+,-,-,-,-,-,"['-', '+']",-,"['+/-', '+']","['-', '+']",-,,,,,,,,,,,-,,,,,,,-,-,,,-,-,,,,,,,,,,,,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,+,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/002/902/385/GCF_002902385.1_genomic.fna.gz
Pseudomonas mandelii,GCF_900106065.1,Pseudomonadaceae,"Pseudomonas mandelii DSM 17967 is an aerobe, mesophilic, Gram-negative bacterium that was isolated from mineral water.",negative,rod-shaped,yes,-,+,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,+,-,,,+,,,-,,+,+,+,+,-,-,-,+,+,+,,-,+,,,-,,-,-,-,-,-,+,,-,-,,,-,-,-,-,-,,,+,-,+,-,-,,,,,,,,,,,+,,,,,,,+,+,,,+,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,+,+,-,-,+,-,+,+,+,-,+,+,-,+,+,+,-,-,+,-,-,-,+,+,+,+,+,+,-,+,+,+,+,+,+,-,+,-,+,+,+,+,+,+,+,+,+,+,+,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/900/106/065/GCF_900106065.1_genomic.fna.gz
Jeotgalicoccus halotolerans,GCF_003387165.1,Staphylococcaceae,"Jeotgalicoccus halotolerans YKJ-101 is an obligate aerobe, mesophilic, Gram-positive bacterium that was isolated from jeotgal, traditional Korean fermented seafood.",positive,coccus-shaped,no,-,+,-,-,+,+,-,-,+,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/003/387/165/GCF_003387165.1_genomic.fna.gz
Macrococcus equipercicus,GCF_004359525.2,Staphylococcaceae,"Macrococcus equipercicus DD9350 is an aerobe, mesophilic, Gram-positive bacterium that was isolated from skin of Irish thoroughbred horse.",positive,coccus-shaped,no,-,+,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['+', '-']",-,-,-,-,-,-,-,-,-,-,-,-,-,"['+', '-']",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,-,-,-,-,+,+,-,,,,,,,-,-,,,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,+,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/004/359/525/GCF_004359525.2_genomic.fna.gz
